"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2093080187,0,NA,NA,NA,0,1,0,NA,0,0,0,0,NA,9,2,9,0,1,9
2093081621,1,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,2,2
2093081710,0,NA,NA,NA,0,0,0,NA,0,0,1,0,NA,NA,3,9,0,2,9
2093081825,0,1,1,1,1,0,0,1,1,0,0,0,0,0,3,0,0,2,3
2093082040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3
2093083763,8,1,0,0,NA,0,NA,1,1,NA,1,0,0,0,3,0,1,NA,2
2093084026,1,1,0,1,0,1,1,0,1,1,1,0,0,1,3,0,0,2,2
2093085065,0,0,0,1,0,1,1,0,1,1,0,1,1,0,3,0,0,2,3
2093086215,0,1,0,1,1,0,1,1,1,1,0,1,0,0,3,1,1,2,2
2093087408,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1
2093087700,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,2,3
2093087912,0,9,0,1,1,1,0,0,1,1,1,1,0,0,3,0,0,1,1
2093088218,1,9,0,1,1,0,0,1,1,0,1,0,1,0,3,0,1,2,3
2093088463,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,8,0,1,1
2093088528,1,NA,NA,NA,0,0,1,NA,1,0,1,1,NA,9,1,1,1,2,8
2093089303,1,1,0,1,1,8,8,0,1,1,1,1,0,1,3,0,1,2,3
2093089311,1,NA,9,9,1,0,0,NA,0,1,1,0,NA,NA,3,9,0,2,1
2093089559,1,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,2,1
2093089567,1,9,0,1,1,0,1,1,1,1,0,1,1,1,3,0,1,2,3
2093090042,0,NA,NA,NA,0,8,0,NA,9,0,0,NA,NA,NA,8,NA,0,1,NA
2093090212,0,9,0,0,0,1,0,1,1,0,1,0,0,0,3,0,0,2,2
2093091430,0,1,1,1,1,0,0,1,1,0,1,0,0,0,3,0,0,2,1
2093091502,1,1,0,0,0,0,0,1,1,0,1,1,1,1,3,1,0,2,3
2093091545,1,NA,NA,NA,1,0,0,NA,0,0,1,1,NA,NA,3,9,0,1,1
2093091600,1,1,1,1,0,1,1,0,1,0,0,0,0,0,3,0,0,2,2
2093091740,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,3
2093091855,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1
2093092681,1,1,0,1,0,0,1,1,1,0,1,0,0,0,3,0,1,1,1
2093092894,0,NA,NA,NA,0,0,0,NA,9,0,0,NA,NA,NA,1,NA,0,2,NA
2093093548,0,9,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
2093093831,1,1,1,1,0,1,1,1,1,0,1,1,1,1,3,1,0,2,3
2093093980,1,NA,NA,1,1,1,1,NA,1,0,0,1,NA,1,3,1,1,2,2
2093094242,1,9,9,9,1,0,1,9,1,0,1,1,9,9,2,9,0,2,3
2093095435,1,1,0,1,1,0,1,1,1,1,1,1,1,0,3,1,1,2,3
2093095842,1,0,0,1,0,0,0,1,1,1,1,0,1,0,3,0,0,2,2
2093096288,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3,1,1,2,1
2093096717,1,0,0,0,0,0,1,0,1,0,1,1,0,0,3,1,0,2,1
2093096881,1,9,0,0,1,0,1,1,1,0,1,0,0,0,3,0,0,2,2
2093097977,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1
2093098515,0,9,9,9,8,1,0,9,1,1,0,0,9,9,1,9,1,2,1
